Threads, 100, 500, 1000, 2000, 4000, 6000, 10000, 15000, 25000, 
OCTREE-T1, 1167914, 20308873, 71317877, 268892402, 1056501724, 2363729874, 6526373317, 14603634102, 40544108254, 
OCTREE-T2, 1257348, 11942246, 45873844, 151507499, 573703062, 1251949849, 3444163457, 7749448561, 21612801559, 
OCTREE-T4, 996866, 7342777, 26560656, 86419015, 325154972, 692434435, 1909536761, 4731145645, 12026215516, 
OCTREE-T8, 4049701, 15325620, 42658580, 160032126, 396797987, 785898712, 2094771032, 4534698410, 12173531292, 
